iter	RMSE
0	1.199304459
1	1.178732431
2	1.159026755
3	1.140140382
4	1.122093557
5	1.10484644
6	1.08834238
7	1.072590913
8	1.05747826
9	1.043080224
10	1.029257034
11	1.016105572
12	1.003490523
13	0.9915036896
14	0.9800668143
15	0.9691733021
16	0.9588010962
17	0.9488440629
18	0.9393079629
19	0.9302583235
20	0.9216244787
21	0.9133661579
22	0.9054960029
23	0.8980245426
24	0.8909520273
25	0.884041637
26	0.8775517691
27	0.8714179107
28	0.8635201811
29	0.8560049806
30	0.8486963958
31	0.8416953423
32	0.8350605678
33	0.8287761476
34	0.8227658697
35	0.8170504723
36	0.8114750508
37	0.8063178174
38	0.8010113811
39	0.7959271524
40	0.7911153482
41	0.786513887
42	0.7821274162
43	0.77791826
44	0.7739540145
45	0.7702156565
46	0.7667389936
47	0.7633875164
48	0.7598527722
49	0.7568193098
