iter	Passed	Remaining
0	10062	493049
1	19292	463011
2	28557	447404
3	37206	427877
4	45941	413476
5	54634	400653
6	72280	444009
7	82056	430795
8	90621	412831
9	99684	398736
10	108661	385253
11	117954	373521
12	127007	361483
13	135536	348522
14	146150	341017
15	154875	329110
16	163724	317817
17	172824	307242
18	181793	296610
19	191194	286792
20	200657	277097
21	209911	267159
22	218975	257057
23	228143	247155
24	236716	236716
25	246281	227336
26	256145	218197
27	265814	208854
28	275471	199479
29	285390	190260
30	294914	180754
31	299902	168695
32	306726	158010
33	315603	148519
34	322933	138400
35	332414	129272
36	339538	119297
37	345668	109158
38	357330	100785
39	365216	91304
40	374412	82188
41	381058	72582
42	389827	63460
43	401568	54759
44	409206	45467
45	416655	36230
46	422970	26998
47	433011	18042
48	438860	8956
49	445545	0
